Symbol,Open,High,Low,Close,Adj Close,Volumen
AXP,,,,,,
MSFT,,,,,,
KO,,,,,,
CSCO,,,,,,
BA,,,,,,
WBA,,,,,,
DOW,,,,,,
CAT,,,,,,
PG,,,,,,
GS,,,,,,
MMM,,,,,,
HD,,,,,,
AAPL,,,,,,
INTC,,,,,,
CVX,,,,,,
TRV,,,,,,
MCD,,,,,,
VZ,,,,,,
PFE,,,,,,
DIS,,,,,,
JPM,,,,,,
NKE,,,,,,
V,,,,,,
WMT,,,,,,
MRK,,,,,,
XOM,,,,,,
IBM,,,,,,
UNH,,,,,,
JNJ,,,,,,
RTX,,,,,,
