Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
LLY,439.79,28,7/9/2023,439.79,bto
CSCO,46.98371887,32,7/9/2023,46.98371887,bto
DOW,53.35757446,29,7/9/2023,53.35757446,bto
AAPL,169.3557434,29,7/9/2023,169.3557434,bto
UNH,493.6734924,28,7/9/2023,493.6734924,bto
INTC,30.17642593,18,7/9/2023,30.17642593,bto
NUE,170.32,24,7/9/2023,170.32,bto
GS,326.48,28,7/9/2023,326.48,bto
V,242.4,6,7/9/2023,242.4,bto
HD,319.16,15,7/9/2023,319.16,bto
JNJ,158.07,23,7/9/2023,158.07,bto
