Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
AXP,158.7755432,1,7/9/2023,158.7755432,bto
WBA,34.09149933,5,7/9/2023,34.09149933,bto
CAT,217.2700043,12,7/9/2023,217.2700043,bto
VZ,38.02921295,4,7/9/2023,38.02921295,bto
MMM,104.2650986,18,7/9/2023,104.2650986,bto
CVX,165.6181946,23,7/9/2023,165.6181946,bto
CVX,165.6181946,23,7/9/2023,165.6181946,bto
