,Ticker,OriginalPrice,Quantity,OriginalDate,ActualPrice,TransType
0,AXP,0,0,2023-07-11,0,BTO
0,KO,0,0,2023-07-11,0,BTO
0,CSCO,0,0,2023-07-11,0,BTO
0,DOW,0,0,2023-07-11,0,BTO
0,AAPL,0,0,2023-07-11,0,BTO
0,AAPL,0,0,2023-07-11,0,BTO
0,AAPL,0,0,2023-07-11,0,BTO
0,PG,0,0,2023-07-11,0,BTO
0,PG,0,0,2023-07-11,0,BTO
0,PG,0,0,2023-07-11,0,BTO
0,PG,0,0,2023-07-11,0,BTO
0,PG,0,0,2023-07-11,0,BTO
0,PG,0,0,2023-07-11,0,BTO
