Symbol,Last,Open,High,Low,Change,%Chg,10D MA,50D MA,10D Avg Vol,5D Rel Str,20D Rel Str,Exchange,52W High,52W Low
ODFL,369.94,369.4,378.58,368.96,3.88,1.06%,360.78,322.6,933630,73.19%,66.19%,NASDAQ,381.81,240
ON,93.3,93.34,94.81,92.35,0.69,0.75%,92.16,85.57,5058850,55.36%,58.36%,NASDAQ,96.85,50.81
ORLY,934.47,940.17,941.37,930.21,-9.86,-1.04%,939.53,927.89,457020,40.75%,53.52%,NASDAQ,964.58,647.54
PANW,247.59,252,253.08,247.06,-5.81,-2.29%,251.51,216.05,3989580,39.16%,62.16%,NASDAQ,258.88,132.22
PAYX,113.44,112.92,115.25,112.56,-0.28,-0.25%,111.35,109.66,2401300,65.15%,55.70%,NASDAQ,139.47,104.09
PCAR,82.31,81.81,83.49,81.81,0.49,0.60%,81.5,75.3,2050250,61.53%,65.27%,NASDAQ,85.18,51.33
PDD,70,68.7,70.69,68.01,2.31,3.41%,70.01,68.46,6517370,47.15%,48.80%,NASDAQ,106.38,38.8
PEP,183.08,185.82,185.88,183.03,-3.52,-1.89%,185.18,187.26,5522990,31.75%,45.17%,NASDAQ,196.88,160.98
PYPL,66.79,66.19,67.66,65.98,0.65,0.98%,66.81,66.02,15586990,48.54%,50.58%,NASDAQ,103.03,58.95
QCOM,115.94,115.37,117.73,114.76,0.72,0.62%,117.29,113.38,6930350,39.94%,49.50%,NASDAQ,156.66,101.47
REGN,692.45,700.59,701.15,692.03,-12.38,-1.76%,724.04,751.75,928730,18.07%,34.38%,NASDAQ,837.55,563.82
ROST,107.46,108.81,109.29,107.3,-1.87,-1.71%,109.31,105.37,2466330,34.02%,51.71%,NASDAQ,122.44,73.53
SBUX,96.05,95.99,96.66,95.55,-0.15,-0.16%,98.15,102.38,7249820,15.66%,36.75%,NASDAQ,115.48,75.73
SGEN,191.51,191.84,192.28,191.1,-0.39,-0.20%,194.03,196.29,1226960,28.08%,41.50%,NASDAQ,207.16,116.08
SIRI,4.45,4.44,4.5,4.41,0.01,0.23%,4.3,3.79,17786109,63.96%,64.04%,NASDAQ,6.85,3.32
SNPS,431.29,430.04,434.9,426.49,0.18,0.04%,428.32,412.8,1114390,50.68%,55.25%,NASDAQ,468.03,267
TEAM,169.45,165.57,173.43,165.57,3.61,2.18%,165.48,160.77,1442220,54.12%,52.04%,NASDAQ,300.29,113.86
TMUS,138.97,138.5,139.95,137.89,-0.19,-0.14%,137.29,137.63,3634870,72.04%,53.96%,NASDAQ,154.38,124.92
TSLA,274.43,278.43,280.78,273.77,-2.11,-0.76%,263.66,212.54,141189734,61.75%,66.61%,NASDAQ,314.67,101.81
TXN,173.7,174.11,177.07,173.58,-1.12,-0.64%,174.93,170.54,4771120,39.68%,50.24%,NASDAQ,186.3,145.97
VRSK,224.97,226.59,227.44,224.72,-2.04,-0.90%,224.5,216.79,1226110,50.57%,58.34%,NASDAQ,228.43,162.94
VRTX,338.18,345.66,345.66,335.82,-7.58,-2.19%,347.23,340.96,1128340,24.42%,48.14%,NASDAQ,354.94,271.61
WBA,29.1,29.1,29.45,28.94,-0.01,-0.03%,29.41,31.33,15828050,38.95%,39.25%,NASDAQ,42.29,28.14
WBD,12.54,12.25,12.81,12.25,-0.13,-1.03%,12.43,12.54,21809051,46.94%,48.81%,NASDAQ,17.65,8.82
WDAY,218.73,218.63,221.04,217.37,-0.57,-0.26%,222.76,203.88,1820200,32.93%,56.42%,NASDAQ,230.62,128.72
XEL,62.93,63.3,63.43,62.87,-0.83,-1.30%,62.56,65.33,3679180,50.29%,44.46%,NASDAQ,77.66,56.89
ZM,65.67,64.74,66.22,64.55,0.98,1.51%,67.18,66.24,2694270,35.87%,46.16%,NASDAQ,124.05,60.45
ZS,143.18,142.37,144.01,141.42,1.44,1.02%,144.28,129.67,1461940,39.18%,55.27%,NASDAQ,194.21,84.93
