Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
GLOG,3.2,3.2,3.05,,,"411,116",15.16,2.55
GLRE,6.98,7.01,6.83,,,"197,727",11.26,5
GLT,16.42,16.61,16.13,,,"88,854",19.03,9.44
GLUU,9.05,9.59,8.88,,,"4,013,163",10.8487,3.98
GLYC,4.7,4.98,4.55,,,"608,214",9.53,1.82
GME,4.11,4.305,4.06,,,"3,237,228",6.92,2.57
GMED,48.64,48.99,47.66,,,"576,666",60.15,33.41
GMRE,12.05,12.055,11.8,,,"224,798",15.95,6.98
GMS,24.49,25.05,24.26,,,"295,836",32.42,10.3881
GNE,8.48,8.49,8.38,,,"71,961",11.45,4.6
GNK,6.08,6.23,5.91,,,"197,221",11.82,4.27
GNL,16.5,16.71,16.3,,,"356,498",21.71,8.77
GNLN,3.13,3.46,3.045,,,"158,569",9.68,1.0184
GNMK,17.93,18.94,17.76,,,"924,109",19.83,3.36
GNRC,136.82,139.49,135,,,"843,056",139.91,69
GNTY,27.13,27.37,26.56,,,"7,888",34.16,20.02
GNW,2.2,2.26,2.16,,,"2,771,277",4.93,1.87
GOGO,3.22,3.34,3.15,,,"1,575,295",7.23,1.33
GOLF,37.64,38.3999,37.15,,,"301,432",37.75,20.65
GOOD,18.68,19.08,18.44,,,"98,438",23.98,7.59
GORO,4.65,4.87,4.59,,,"1,407,082",6.24,2.02
GOSS,13.91,14.4772,13.715,,,"302,028",27.1497,7.52
GPI,84.43,86.57,82.99,,,"402,693",110.11,26.255
GPMT,6.9,7.17,6.8499,,,"629,398",19.27,1.74
GPOR,1.14,1.16,1.07,,,"3,203,114",3.98,0.35
GPRE,12.05,12.22,11.86,,,"372,111",16.49,3.77
GPRO,5.16,5.35,5.1223,,,"1,909,598",5.79,2
GPX,8.26,8.39,8.05,,,"22,324",16.68,5.2
GRBK,14.17,14.75,14.07,,,"340,512",14.21,5.6606
GRC,32.19,32.375,31.27,,,"88,338",39.6,21.49
GRIF,50.41,52.65,50.27,,,"11,301",57.45,28.6711
GRPN,16.43,16.88,16.12,,,"988,916",71.2,9.6
GRTS,3.59,3.79,3.52,,,"789,704",12.96,3.5
GSBC,39.01,39.07,37.652,,,"60,484",64.48,32.23
GSHD,81.75,83.96,80.235,,,"74,413",87.55,37.26
GSIT,6.76,6.89,6.7,,,"35,840",9,4.75
GTHX,18.27,18.9,18,,,"507,027",41.8,8.8
GTLS,65.19,65.87,60,,,"1,947,111",77.4,15
GTN,14.62,14.695,14.26,,,"739,832",23.07,8.53
GTS,19.26,19.83,19.22,,,"63,089",27.64,9.13
GTT,7.05,7.17,6.5501,,,"625,069",15.77,4.67
GTY,29.85,30.98,29,,,"177,330",33.75,16.36
GTYH,3.57,3.64,3.52,,,"48,748",7.3899,2.81
GVA,19.14,19.45,18.59,,,"398,055",44.89,8.9
GWB,14.2,14.26,13.35,,,"480,233",36.65,10.86
GWGH,6.76,6.97,6.76,,,"1,216",11.4699,6.5
GWRS,10.79,10.97,10.5001,,,"25,567",14.99,8.51
HA,13.52,13.93,12.835,,,"1,202,859",31.34,7.55
HAE,92.05,93.5,91.38,,,"499,859",140.36,63.41
HAFC,9.52,9.58,9.17,,,"219,938",21.93,7.15
HALL,3.34,3.47,3.25,,,"280,367",20.3,2.28
HALO,27.22,28.13,27.17,,,"877,187",29.34,12.71
HARP,13.64,14.19,13.33,,,"100,149",25.02,10.27
HASI,34.28,35.67,34.14,,,"953,851",39.91,15.0101
HAYN,22.16,22.5,21.74,,,"93,908",39.04,17.6137
HBB,10.35,10.73,10.325,,,"27,896",21.22,6.68
HBCP,25.31,25.675,25.12,,,"10,321",40.8,18.57
HBMD,10.18,10.24,9.93,,,"370,330",19.2,8.44
HBNC,10.025,10.115,9.86,,,"133,178",19.48,7.42
HCC,15.71,15.995,15.25,,,"964,270",26.5,9.4601
HCCI,14.63,15.57,14,,,"87,257",32.58,11.295
HCI,44.87,46.48,44.74,,,"34,059",49.98,31.61
HCKT,14.42,14.5,14.11,,,"154,867",18.9,9.5
HCSG,26.41,27.13,25.44,,,"1,246,952",31.3,15.8
HEES,18.94,19.03,18.63,,,"181,516",37.85,9.12
HELE,190.23,195.89,189.57,,,"145,592",209.9899,104.015
HFFG,8.88,8.975,8.72,,,"91,124",27.97,5.04
HFWA,20.79,21.15,19.82,,,"268,050",29.29,14.65
HI,28.8,28.87,27.32,,,"505,553",35.8,13.61
HIBB,24.4,25,23.93,,,"413,841",30.98,7.33
HIFS,176.94,180,176.94,,,"2,360",216.82,125.55
HL,5.13,5.34,4.96,,,"21,735,719",5.46,1.38
HLI,56.41,56.85,55.96,,,"359,687",64.84,41.8
HLIO,37.19,37.64,36.34,,,"48,771",49.49,29.0268
HLIT,5.64,5.67,5.1008,,,"753,742",8.57,4.44
HLNE,72.52,74.15,71.24,,,"193,760",76.31,36.27
HLX,4.85,5.34,4.4,,,"17,511,842",10,0.99
HMHC,2.2,2.42,2.16,,,"5,401,945",6.85,1.03
HMN,38.56,38.76,38.1,,,"131,492",48.15,30.48
HMST,24.34,24.37,23.32,,,"258,971",35.44,18.44
HMSY,32.32,32.79,32.1,,,"325,669",40.67,18.195
HMTV,9.28,9.35,9.22,,,"34,799",15.34,8
HNGR,18.22,18.4954,17.715,,,"144,564",28.16,11.31
HNI,32.14,32.595,30.8,,,"522,846",42.9,16.605
HNRG,0.6605,0.681,0.6431,,,"557,382",5.87,0.6
HOFT,21.45,21.575,21.12,,,"57,979",26.07,12.3
