Symbol,Open,High,Low,Close,Adj Close,Volume,52High,52Low
MDP,14.39,14.53,13.88,,,"509,658",56.86,10.01
MDRX,7.11,7.18,6.81,,,"1,192,509",11.82,4.56
MEC,7.48,7.7,7.46,,,"8,453",14.815,3.89
MED,166.62,170.42,163.5,,,"328,573",168.59,49.03
MEDP,110.73,114.12,109.77,,,"388,511",111.31,58.72
MEET,6.26,6.2802,6.24,,,"661,305",7,3.07
MEI,29.47,29.79,29.16,,,"173,349",41.7,21.76
MEIP,3.05,3.2,3.01,,,"1,302,267",4.4585,0.72
MESA,3.4,3.47,3.23,,,"718,472",10.85,2.05
METC,2.37,2.4299,2.24,,,"70,555",5.34,1.75
MFIN,3.16,3.24,3.08,,,"34,199",7.4,1.29
MFNC,9.25,9.6,9.21,,,"5,601",17.75,6.52
MG,3.58,3.62,3.44,,,"175,886",16.95,2.77
MGEE,67.5,68,67.1,,,"50,672",83.26,47.19
MGLN,75.59,77.12,74.72,,,"152,300",81.04,30.6
MGNX,25.99,27.43,25.75,,,"261,855",32.18,4.04
MGPI,38.24,38.92,37.6,,,"66,818",69.63,21.64
MGRC,55.98,56.02,54.43,,,"133,121",83.95,44.32
MGTA,7.65,7.9,7.5,,,"287,090",16.19,5.76
MGTX,13.36,14.42,13.005,,,"147,365",29.21,8.82
MGY,6.85,7.06,6.79,,,"1,388,271",13.285,3.23
MHO,39.19,41.8385,38.1,,,"506,917",48.02,9.62
MIK,7,7.32,6.75,,,"4,349,357",11.1,1
MITK,9.59,9.83,9.43,,,"320,463",11.19,5.26
MITT,3.15,3.26,3.115,,,"2,101,987",16.7,1.46
MJCO,13.15,13.15,13.05,,,"44,951",13.69,4.57
MLAB,231.83,233.36,221.98,,,"44,959",271.46,181.9
MLHR,23.75,23.93,23.02,,,"720,650",49.8749,14.39
MLI,28.73,28.89,28.155,,,"288,202",34.11,16.78
MLND,1.99,2.14,1.8882,,,"3,428,266",10.99,1.26
MLP,10.4,10.52,10.16,,,"8,810",13.62,8.5
MLR,29.33,29.4,28.68,,,"41,530",38.18,25.25
MLVF,12.2,12.56,12.13,,,"4,297",23.75,10.06
MMAC,26.4,27.56,26.4,,,"1,248",33,20
MMI,28.03,28.26,27.53,,,"102,522",38.2393,21.9
MMS,72.46,73.69,72.16,,,"222,798",82.02,46.42
MMSI,41.95,42.96,41.36,,,"480,649",55.47,19.5
MNK,2.34,2.38,2.32,,,"2,640,155",7.175,1
MNKD,1.65,1.73,1.63,,,"2,320,450",2.48,0.8
MNLO,1.67,1.791,1.65,,,"2,058,796",7.48,1
MNOV,5.76,5.9,5.655,,,"82,162",9.8213,2.79
MNR,14.25,14.51,14.1,,,"607,292",15.53,8.42
MNRL,11.99,12.44,11.71,,,"370,070",23.29,5.86
MNRO,61.7,62.785,59.32,,,"270,584",87.6,37.0906
MNSB,13.32,13.6,13.3,,,"8,462",24.6,12.31
MNTA,31.05,32.46,30.75,,,"808,791",39.88,9.92
MOBL,5.65,5.93,5.6,,,"710,064",7.79,2.94
MOD,5.21,5.35,5.09,,,"433,588",14.9,2.84
MODN,36.3,37.285,36.03,,,"390,015",39.65,15
MOFG,18.48,18.63,17.96,,,"35,065",39.03,15.25
MOG/A,53.39,54.49,52.81,,,"192,803",96.5,32.49
MOV,10.68,10.81,10.28,,,"172,151",28.78,8.12
MPAA,16.66,16.92,16.575,,,"60,130",24.6,10.43
MPB,17.96,18.13,17.81,,,"2,808",29.88,15.5
MPX,17.89,18.51,15.44,,,"417,900",16.51,6.77
MR,3.96,4.07,3.66,,,"630,261",8.3,1.985
MRC,6.19,6.28,5.92,,,"401,783",16.28,3.31
MRCY,78.81,80.83,78.07,,,"212,661",96.29,52.24
MRKR,2,2.06,1.91,,,"191,920",6.54,1.33
MRLN,7.42,7.91,7.275,,,"41,050",25.44,4.66
MRNS,1.8,1.9215,1.72,,,"2,861,157",3.5,0.95
MRSN,22,23.24,21.91,,,"545,496",24.97,1.32
MRTN,26.61,27.1023,26.24,,,"492,779",30.19,16.01
MRTX,119.73,123.6,118.59,,,"192,222",132.59,66.01
MSA,114.79,116.61,113.96,,,"256,467",142.34,83.57
MSBI,14.66,14.68,14.15,,,"123,747",29.5,12.49
MSEX,67.11,67.77,66.645,,,"33,911",72.41,48.79
MSGN,10.29,10.43,10.02,,,"194,765",19.35,8.515
MSON,13.58,14.22,13.5,,,"39,884",25.2,6.71
MSTR,119.76,122.585,119.34,,,"49,900",165,90
MTDR,9.27,9.295,8.675,,,"4,948,763",19.825,1.11
MTEM,12.54,13.01,12.14,,,"305,185",19.1229,4.51
MTH,89.5,98,87.64,,,"1,170,740",90.8,25.24
MTOR,23.23,23.31,22.45,,,"920,423",27.1799,10.91
MTRN,61.33,61.875,59.4045,,,"142,133",68.75,26.15
MTRX,9.51,9.62,9.22,,,"82,670",24.36,7.11
MTSC,17.82,18.05,17.58,,,"122,669",63.31,13.15
MTSI,37.41,38.19,36.8854,,,"271,350",39.25,15.03
MTW,11.61,11.73,11.42,,,"219,591",18.55,7.24
MTX,47.71,48.3,47,,,"115,956",59.18,27.28
MTZ,40.66,41.98,40.51,,,"470,575",73.71,22.51
MUSA,139.42,141.22,137.75,,,"502,738",140.19,78.75
MVBF,12.85,13.05,12.79,,,"5,710",26.9954,8.22
MWA,10.18,10.28,10.03,,,"594,844",12.71,6.64
MXL,26.37,26.99,25.9,,,"1,083,569",28.1,7.79
MYE,14.75,14.91,14.61,,,"198,098",18.465,6.91
MYGN,12.32,12.52,11.94,,,"711,621",48.4,9.24
MYOK,93.72,96.5,93.01,,,"333,944",126.301,42.65
MYRG,32.67,33.13,32.32,,,"110,820",38.14,16.325
NAT,4.3,4.355,4.19,,,"2,406,901",9,1.66
NATH,52.37,53.99,52.37,,,"4,749",82.18,39.01
NATR,9.83,9.99,9.57,,,"16,539",10.85,5.5
NAV,31.3,31.73,31.24,,,"396,095",38,15.01
NBEV,2.18,2.2,2.05,,,"4,182,586",3.98,0.981
NBHC,28.21,28.88,27.89,,,"140,513",37.97,20.25
NBN,14.75,14.93,14.68,,,"63,070",23.98,6.2
NBR,42.81,43.6775,37.3,,,"1,092,648",167.5,9.79
NBTB,30.27,30.35,29.7,,,"100,228",41.5,26.315
NC,23.21,23.735,23.01,,,"20,530",66.4,21.01
NCBS,56.6,57.08,54.81,,,"28,025",75.99,45.33
NCMI,3.07,3.13,3.03,,,"251,474",9.85,1.62
NCSM,0.5962,0.63,0.58,,,"133,688",3.44,0.3119
NDLS,6.45,6.57,6.36,,,"186,775",9.06,3.14
NE,0.2734,0.2945,0.2706,,,"8,059,453",2.32,0.12
NEO,36.72,37.7,36.43,,,"529,259",37.63,18.52
NEOG,75.32,76.18,74.57,,,"195,858",80.84,48.91
NERV,3.55,3.71,3.515,,,"1,016,635",15.215,1.81
NESR,6.75,6.94,6.6119,,,"125,007",9.53,4.04
NEXT,1.84,1.8767,1.78,,,"82,013",6.78,1.115
NFBK,10.44,10.59,10.03,,,"394,751",17.55,9.38
NG,8.57,8.97,8.44,,,"2,076,943",12.845,4.65
NGHC,33.865,33.92,33.78,,,"854,082",34.48,11.8201
NGM,17.96,18.39,17.67,,,"154,038",23.95,8.81
NGS,6.76,6.97,6.52,,,"41,346",16.63,2.62
NGVC,15.57,16.0685,15.321,,,"154,678",16.69,5.41
NGVT,59.96,60.24,58.49,,,"221,881",104.76,24.92
NHC,60.98,61.72,60.59,,,"20,677",89.545,55.88
NHI,60.57,61.37,59.63,,,"334,064",91.12,31.37
NINE,2,2.0795,1.94,,,"287,452",13.97,0.38
NJR,32.39,32.46,31.78,,,"662,305",50.62,21.14
NKSH,25.77,26.6,25.76,,,"3,438",48.8156,25.69
NL,3.28,3.31,3.22,,,"9,128",5.4532,2.28
NMIH,14.62,15.14,14.46,,,"706,044",35.79,8.06
NMRK,4.09,4.17,3.9737,,,"607,609",13.85,2.49
NNBR,5.39,5.49,5.24,,,"148,586",10.15,1.345
NNI,58.92,59.5,58.7892,,,"111,282",69.97,36.7
NODK,16.07,16.29,15.9,,,"19,363",18.32,10.15
NOG,0.7719,0.8125,0.7624,,,"2,326,554",2.43,0.5
NOVT,104.31,106.84,102.55,,,"71,465",115.33,66.44
NP,48.78,49.245,48.14,,,"52,646",77.55,33.44
NPK,84.37,86.04,84.1,,,"30,673",97.9,66.6
NPO,49.22,49.67,47.91,,,"57,898",73.8,30.04
NPTN,8.64,8.835,8.53,,,"666,223",10.34,4.03
NR,2.06,2.075,1.945,,,"498,397",8.08,0.65
NRC,58.94,60.62,58.62,,,"93,857",71.3525,34
NRIM,23.34,23.49,22.75,,,"26,498",42.28,17.32
NSA,29.74,30.12,29.39,,,"286,545",38.215,19.34
NSIT,50.1,51.32,49.88,,,"287,727",73.22,28.2506
NSP,67.24,68.41,66.61,,,"179,817",144.92,22.59
NSSC,24.46,24.6,23.53,,,"93,517",34.747,13.33
NSTG,35.89,37.42,35.46,,,"219,667",38.4,13.85
NTB,26.6,26.91,25.57,,,"267,224",38.05,13.76
NTCT,26.89,27.28,26.7,,,"277,796",29.62,19.11
NTGR,31.79,33.375,31.35,,,"1,658,004",36.87,15.01
NTLA,19.65,20.525,19.54,,,"680,252",25.56,9.18
NTRA,48.41,49.97,47.67,,,"660,728",51.87,16.87
NUVA,57.92,58.7,57,,,"470,112",81.91,28.55
NVAX,139.59,151.2,134.04,,,"5,904,432",151.2,3.54
NVCR,67.79,69.535,66.59,,,"1,005,667",98.8412,53.4
NVEC,58.19,61.8,58,,,"27,401",76.4,42.85
NVEE,55.36,56.47,54.5601,,,"84,944",85,27
NVRO,131.5,135.32,130.8,,,"205,074",148.05,60.51
NVTA,31.01,33.08,30.9,,,"1,926,977",35.33,7.415
NWBI,10.1,10.12,9.83,,,"631,743",17.74,8.52
NWE,54.76,55.54,54.49,,,"272,102",80.52,45.06
NWFL,25.47,27.2,25.19,,,"3,613",39.69,21.2
NWLI,200.69,202.85,199.13,,,"6,922",297.9995,120.55
NWN,54.86,55,54.05,,,"164,135",77.26,50.36
NWPX,25.62,25.975,25.37,,,"41,891",36.7,18.04
NX,14.42,14.74,14.22,,,"237,109",20.42,7.9001
NXGN,11.79,11.85,11.4,,,"362,562",18.78,5.1
NXRT,35.94,36.4925,35.295,,,"129,879",52.87,21.06
NXTC,9.9,10.586,9.57,,,"1,544,067",109,8
NYMT,2.58,2.64,2.54,,,"2,793,681",6.47,0.9821
OAS,0.7101,0.7438,0.703,,,"13,534,959",5.15,0.24
OBNK,22.11,22.31,20.92,,,"70,635",38.14,15.98
OCFC,16.55,16.81,16.03,,,"399,077",26.09,11.6022
OCN,1.2,1.24,1.17,,,"1,542,211",2.07,0.2811
OCUL,8.64,9.2111,8.46,,,"828,701",9.27,2.46
OCX,1.3,1.37,1.3,,,"574,431",3.51,1.2
ODC,35.8,37.11,35.42,,,"24,311",38.8,27.51
ODP,23.9,24.3,23.22,,,"533,158",29.9,12.3
ODT,37.76,39.41,37.65,,,"41,704",46.4999,18.07
OEC,10.93,11,10.66,,,"288,794",20.78,5.93
OFG,14.35,14.5,13.49,,,"252,156",23.76,8.63
OFIX,31.93,31.98,31.21,,,"81,971",55.17,22.11
OFLX,115.5,117.3,114.015,,,"4,836",120,50.38
OGS,79.04,79.61,77.93,,,"264,855",96.97,63.67
OII,5.81,5.89,5.61,,,"2,096,191",17.9999,2.01
OIS,5.1,5.14,4.83,,,"865,075",17.81,1.52
OLP,17.18,17.6,16.845,,,"51,459",29.24,9.71
OMCL,67.35,68.57,65.21,,,"314,792",94.85,54.24
OMER,14.16,14.58,14.02,,,"277,053",20.92,8.5
OMI,14.91,15.36,12.7501,,,"8,817,144",15.4,2.48
ONB,14.38,14.45,13.96,,,"863,232",18.74,11.19
ONDK,0.7741,0.8095,0.7653,,,"1,049,187",4.71,0.54
OOMA,15.9,16.01,15.5,,,"124,267",19.18,7.45
OPBK,6.37,6.46,6.35,,,"9,331",10.72,5.54
OPI,26.46,26.52,25.845,,,"392,966",35.95,16.5
OPK,5.6,5.9,5.44,,,"24,360,974",6.47,1.1171
OPRX,14.55,14.755,14.21,,,"67,699",17.24,6.5019
OPTN,5.25,5.42,5.15,,,"233,690",11.66,3.28
OPY,22.05,22.2,21.49,,,"93,130",31.82,14.2101
ORA,63.09,63.775,62.61,,,"218,092",87.07,55.2161
ORBC,3.705,3.77,3.66,,,"239,212",8.16,1.24
ORC,5.1,5.22,5.02,,,"649,136",6.94,1.53
ORGO,3.91,4.05,3.87,,,"77,231",8.3359,2.4722
ORRF,14.24,14.38,13.98,,,"6,151",23.48,11.4
OSBC,8.53,8.88,7.89,,,"157,176",13.77,5.96
OSG,2.27,2.27,2.15,,,"500,337",2.81,1.51
OSIS,68.75,69.56,68,,,"99,505",114.58,49.955
OSMT,5.62,5.965,5.59,,,"506,508",9.67,2.7
OSPN,28.73,29.46,28.38,,,"264,064",29.7,10.88
OSTK,52.98,57.17,51,,,"4,190,557",55.29,2.53
OSUR,16.85,17.395,16.57,,,"1,078,693",18.27,5.23
OSW,5.535,5.54,5.21,,,"369,480",17.25,2.45
OTTR,39.35,39.5,38.83,,,"107,833",57.74,30.9547
OVBC,20.26,20.26,20.26,,,700,41.5,19.2
OVLY,12.13,12.13,12.13,,,"1,071",19.95,10.72
OXM,44.14,45,43.37,,,"77,133",80.55,30.3713
PACB,3.92,4.18,3.86,,,"1,680,219",5.94,2.2
PACD,0.51,0.55,0.4825,,,"7,001,420",9.8,0.3456
PAHC,23.93,24.48,23.76,,,"93,906",33.97,16.87
PAR,30.82,32.33,30.195,,,"199,361",35.1,9.635
PARR,8.89,8.99,8.64,,,"398,305",25.69,5.72
PATK,64.92,67.5,63.83,,,"212,110",67.4,16.7
PAYS,9.02,9.37,8.93,,,"445,540",17.46,3.63
PBH,38.17,38.82,38.1,,,"226,868",46.115,27.4
PBI,2.98,2.99,2.81,,,"1,744,926",5.5,1.67
PBIP,12.06,12.4,11.47,,,"23,625",18.6,9.9
PBPB,2.47,2.65,2.41,,,"725,915",6,1.5
PBYI,9.96,10.3745,9.885,,,"400,077",15,5.5
PCB,9.77,9.94,9.575,,,"44,446",17.75,7.31
PCH,42.51,42.905,41.44,,,"1,016,610",45.42,22.4
PCRX,53.87,54.4205,53.14,,,"390,411",59.93,27.46
PCSB,11.57,11.69,11.45,,,"20,326",20.78,11.31
PCYO,8.93,9.1799,8.89,,,"38,319",13.83,7.18
PDCE,15.59,15.839,15.15,,,"982,643",36.49,4.51
PDCO,25.59,26.3,25.47,,,"934,658",26.1,12.93
PDFS,20.3,20.525,19.69,,,"102,617",20.49,8.61
PDLB,10.05,10.05,9.51,,,"7,113",14.85,7.31
PDLI,3.07,3.08,2.9801,,,"1,596,824",3.47,1.710096
PDM,15.92,16.06,15.72,,,"532,725",24.78,12.855
PEB,10.78,10.835,10.185,,,"2,991,115",29.57,5.39
PEBK,17.17,17.7,17.17,,,"5,070",33.1755,13.3
PEBO,20.88,20.9,20.1668,,,"53,450",39.28,17.905
PEI,1.19,1.27,1.17,,,"1,035,461",6.67,0.8026
PENN,33.84,35.53,32.82,,,"8,114,148",40.14,3.75
PETQ,36.22,36.82,35.645,,,"607,975",37.4099,15.83
PETS,31.49,32.64,30.76,,,"1,486,413",42.885,15.12
PFBC,40.63,40.81,38.71,,,"98,802",64.4985,20.04
PFBI,10.98,11.47,10.88,,,"39,554",20.3794,8.21
PFGC,28.02,28.3,27.46,,,"998,427",54.49,7.41
PFIS,37.69,38.3,37.65,,,"4,262",53.88,29.01
PFNX,7.83,8.2,7.71,,,"174,794",14,5.26
PFS,14.62,14.71,14.11,,,"438,086",25.86,9.05
PFSI,44.38,45.19,43.7494,,,"604,475",45.06,13.135
PGC,17.48,17.79,17.165,,,"73,285",31.72,11.15
PGTI,16.87,17.19,16.48,,,"560,795",18.48,6.88
PHAS,5.06,5.34,4.9501,,,"406,413",9.825,2.6
PHUN,1.57,1.59,1.42,,,"5,345,353",3,0.54
PHX,2.54,2.67,2.49,,,"214,765",15.29,2.33
PI,30.12,31.08,29.42,,,"182,484",40.24,11.4701
PICO,8.69,8.9,8.57,,,"25,698",11.41,6.405
PIRS,2.95,3.185,2.95,,,"367,868",6.04,1.6
PJT,53.35,53.505,52.32,,,"104,637",58,23.63
PKBK,11.85,12.19,11.85,,,"30,344",23.136364,9.05
PKE,11.24,11.45,11.1101,,,"122,357",19.29,9.14
PKOH,15.79,16.24,15.69,,,"12,643",36.11,10.78
PLAB,11.69,11.815,11.41,,,"456,946",16.75,8.31
PLAY,13.02,13.37,12.58,,,"4,868,976",48.8,4.605
PLCE,30.75,31.51,30.4,,,"1,059,054",101.62,9.25
PLMR,84.53,88.27,83.1301,,,"264,084",94.78,26.49
PLOW,37.35,37.64,36.1401,,,"87,102",56.8896,24.12
PLPC,51.3,52.49,51.3,,,"1,562",76.6,36.16
PLSE,11.06,11.71,10.96,,,"49,833",17.45,5.11
PLT,19.43,19.7,18.8,,,"964,361",42.44,4.6
PLUG,8.53,8.88,8.37,,,"20,519,136",10.49,1.88
PLUS,75.79,77.83,75.03,,,"53,425",99.63,42.53
PLXS,76.1,79.83,72.95,,,"814,775",86.525,35.16
PMBC,3.7,3.76,3.55,,,"27,826",8.37,2.95
PMT,18.78,19.15,18.73,,,"761,760",23.79,3.5
PNM,42,42.16,41.41,,,"446,754",56.14,27.08
PNRG,73.4,0,0,,,69,170.99,47.68
POR,44.1,44.55,43.86,,,"450,739",63.08,37.83
POWI,118.73,121.66,117.31,,,"179,938",126.25,77.135
POWL,27.24,27.62,26.93,,,"34,186",50.805,15.62
PPBI,21.25,21.59,20.42,,,"542,037",34.9,13.93
PQG,13.61,13.94,13.43,,,"175,527",17.26,8.5
PRA,15.75,16.03,15.49,,,"500,990",42.03,12.67
PRAA,39.8,40.15,38.78,,,"234,623",40.56,19.4001
PRFT,36.94,37.27,36.65,,,"473,012",53.76,18.88
PRGS,35.45,37.01,35.32,,,"220,020",52.5,28.09
PRGX,4.62,4.7,4.48,,,"12,372",7.03,1.77
PRIM,16.9,17.18,16.62,,,"326,326",23.73,9.42
PRK,69.93,69.98,68.19,,,"65,983",105.52,64.53
PRLB,128.95,129.01,124.79,,,"298,399",136.85,63.19
PRMW,14.02,14.205,13.85,,,"810,935",16,6.33
PRNB,85.92,90.5,85.62,,,"256,985",94.9099,25.35
PRO,39.86,41.385,39.7,,,"204,718",75.395,19.73
PROV,12.2,12.23,12.2,,,"8,815",22.99,11.78
PRPL,19.17,19.3,18.44,,,"608,720",21.18,4.42
PRSC,82.18,83.99,80.78,,,"171,851",82.43,40.4
PRSP,21.72,22.4375,21.66,,,"650,099",29.88,14.03
PRTA,12.32,12.72,12.195,,,"125,497",17.63,6.71
PRTH,2.33,2.75,2.21,,,"46,756",8,1.3275
PRTK,4.87,4.935,4.5998,,,"521,246",5.89,2.5
PRTY,1.55,1.56,1.31,,,"8,348,894",7.37,0.26
PSB,131.03,132.38,129.5,,,"84,729",192.13,102.48
PSMT,67.16,67.48,64.67,,,"125,085",79.9,41.15
PSN,34.19,34.99,34.15,,,"146,940",45.4,24.67
PTCT,47.82,48.55,46.815,,,"693,094",59.89,30.7923
PTE,1.61,1.79,1.525,,,"2,216,044",5.62,0.78
PTGX,16.28,17.33,16.19,,,"162,000",19.67,4.47
PTN,0.563,0.585,0.555,,,"1,627,097",1.133,0.355
PTSI,32.36,33.5557,32.25,,,"6,642",71.56,22
PTVCB,14.28,14.6,14.24,,,"10,097",17.87,10.23
PUMP,5.71,5.75,5.3,,,"1,165,844",18.8,1.36
PVAC,11.12,11.77,10.85,,,"906,262",37.12,0.99
PVBC,8.02,8.14,7.97,,,"21,110",28.465,7.21
PWOD,20.92,21.46,20.49,,,"9,144",36.27,18.72
PZN,5.3,5.37,5.19,,,"40,453",10.15,3.46
PZZA,92.98,96.43,92.49,,,"512,759",95.15,28.55
QADA,39.94,40.9358,39.5,,,"39,855",54.54,28.2138
QCRH,29,29.11,27.9,,,"39,375",44.76,22.385
QDEL,257.24,272.68,255.31,,,"578,838",277.67,52.49
QEP,1.66,1.7,1.56,,,"5,559,058",5.35,0.2625
QLYS,111.57,114.21,110.87,,,"261,592",119.195,63.37
QNST,11.5,11.74,11.23,,,"255,904",16.92,5.76
QTRX,30.05,30.52,29.325,,,"118,114",32.82,10.895
QTS,68.48,69.01,67.43,,,"815,467",68.965,42.64
QTWO,93.88,96.6651,93.22,,,"399,912",95,47.17
QUAD,3.11,3.29,3.11,,,"136,292",12.12,2
QUOT,7.85,8.06,7.76,,,"395,089",11.42,4.55
RAD,15.57,16.02,15.35,,,"2,021,460",23.88,5.04
RAMP,46.6,47.58,45.92,,,"590,514",53.585,23.44
RARE,78.93,83.64,78.35,,,"358,339",91.77,31.99
RAVN,23.11,23.2652,22.79,,,"501,102",38,16.01
RBB,13.29,13.39,13.14,,,"37,061",21.9,10.61
RBBN,4.225,4.28,4.15,,,"129,470",5.93,1.95
RBCAA,31.29,31.5,30.42,,,"24,349",49.76,27.05
RBNC,14.9,15.23,14.4314,,,"23,521",25,9.45
RC,8.19,8.31,8.07,,,"251,199",16.9,3.92
RCII,27.8,28.14,27.44,,,"384,152",31.14,11.69
RCKT,24.78,25.87,24.58,,,"511,099",27.59,9.01
RCKY,18.53,19.1,18.35,,,"22,669",34.1357,14.96
RCM,13.54,13.58,13.1101,,,"1,532,921",13.99,7.12
RCUS,23.05,24,22.92,,,"320,937",37.41,6.3
RDFN,41.69,43.8,40.73,,,"2,059,564",43.9,9.63
RDI,4.65,4.83,4.61,,,"37,952",13.69,2.83
RDN,13.95,14.165,13.78,,,"2,431,297",26.315,9.53
RDNT,16.11,16.16,15.72,,,"204,433",23.45,5.81
RDUS,12.71,13.18,12.51,,,"295,923",29.97,10.32
REGI,26.79,27.5,26.09,,,"628,579",32.89,9.9
REI,1.17,1.22,1.12,,,"1,368,730",3.31,0.5182
REPH,4.26,4.4599,4.24,,,"175,153",19.21,3.9865
REPL,19.79,20.29,19.61,,,"137,965",26.22,8.58
RES,3.29,3.33,3.21,,,"776,880",6.92,1.7201
RESI,8.65,8.79,8.59,,,"134,775",13.28,6.01
RETA,156.71,164,156.55,,,"105,494",257.965,70
REV,7.16,7.42,7.06,,,"306,867",27.46,7.11
REVG,6.37,6.61,6.25,,,"253,981",14.99,3.5
REX,69.36,69.58,68.26,,,"22,593",98.79,33.81
REXR,41.73,42.49,40.79,,,"896,662",53.48,31.7871
RFL,14.33,15.55,14.1101,,,"21,497",23.76,9.4
RGCO,22.61,23.05,22.575,,,"16,750",31.98,22.67
RGEN,136.73,141.12,135.835,,,"495,593",143.93,72.32
RGNX,36.54,38.23,36.12,,,"284,561",54.97,20.03
RGR,75.7,77.85,75.205,,,"343,765",80.5,38.44
RGS,8.17,8.26,7.81,,,"468,011",23.27,4.2201
RH,282.93,288.45,277.855,,,"496,860",287.66,73.1359
RHP,32.88,32.94,31.725,,,"487,157",91.57,13.25
RICK,11.78,11.94,11.38,,,"74,835",27.79,6.52
RIGL,2.65,2.9,2.56,,,"4,509,782",5.24,1.23
RILY,23.1,23.18,22.815,,,"47,828",30.17,12.94
RLGT,4.15,4.28,4.15,,,"80,197",5.94,3.08
RLGY,8.31,8.67,8.19,,,"1,996,519",13.88,2.09
RLH,2.3,2.41,2.29,,,"41,931",7.035,1.16
RLI,95.74,97.84,88.25,,,"603,817",99.93,66.02
RLJ,8.29,8.33,8.085,,,"1,656,588",18.17,3.88
RM,15.46,15.66,15.15,,,"104,273",34.93,10.3255
RMAX,34.04,34.1,33.1,,,"113,529",40.7799,14.4
RMBS,14.63,14.87,14.52,,,"664,930",16.98,9.01
RMNI,5.25,5.34,5.225,,,"116,083",5.4,2.22
RMR,30.54,30.78,29.76,,,"46,512",50.31,21.79
RMTI,1.95,2.005,1.9401,,,"179,688",3.85,1.306
RNET,3.13,4,2.23,,,"55,372,054",9.6,0.77
RNST,23.99,24.16,23.55,,,"204,412",36.84,18.22
ROAD,16.78,17,16.44,,,"234,742",20.92,11.96
ROCK,52.03,52.56,51.235,,,"122,701",56.58,30.6
ROG,129.42,130.51,127.305,,,"90,112",174.6491,75.72
ROIC,10.28,10.49,10.07,,,"1,221,091",19.18,5.8402
ROLL,128.66,131.67,126.25,,,"63,830",185.055,77.63
ROSE,0.4226,0.43,0.405,,,"454,026",3.0667,0.25
RPD,56.49,57.73,55.745,,,"485,778",66.01,31.3401
RPT,6.14,6.36,5.99,,,"674,505",15.18,4.615
RRBI,41.46,41.9,40.66,,,"7,855",59,29.9
RRD,1.25,1.3,1.22,,,"1,751,095",4.83,0.72
RRGB,8.08,8.33,7.78,,,"860,395",37.29,4.04
RRR,10.86,11.1,10.51,,,"2,555,331",27.91,2.7601
RRTS,2.3,2.38,2.3,,,"3,368",12.75,1.75
RST,24.37,25.73,23.23,,,"1,433,077",24.31,8.85
RTIX,3.14,0,0,,,0,5.4,1.46
RTRX,20.41,21.39,20.31,,,"416,207",21.92,8.98
RUBY,5.63,5.81,5.53,,,"130,791",14.81,3.35
RUN,42.46,42.8,40.24,,,"6,310,398",41.15,7.835
RUSHA,48.55,49.785,45.795,,,"312,425",49.27,27.25
RUSHB,41.04,42.01,38.56,,,"16,557",48.5,21.645
RUTH,7.16,7.27,6.96,,,"984,025",25.775,2.315
RVI,12.18,12.23,11.83,,,"50,528",38.85,8.32
RVNC,23.5,24.15,23.25,,,"290,070",27.97,9.88
RVSB,4.89,5.02,4.86,,,"60,620",8.64,4.05
RWT,6.9,7.205,6.89,,,"2,170,016",18.01,2.14
RXN,30.27,30.655,29.82,,,"745,354",35.64,18.87
RYAM,3,3.23,2.95,,,"569,018",5.7,0.9001
RYI,5.95,6.14,5.88,,,"203,842",12.54,3.76
RYTM,21.28,22.04,21.19,,,"114,734",25.86,12.99
SAFE,50.65,53.78,48.75,,,"421,836",67.18,26.61
SAFM,113.99,114.98,113,,,"282,136",179.45,102.13
SAFT,76.68,77.43,76.47,,,"41,888",103.96,65.45
SAH,42.13,42.4525,40.77,,,"551,538",41.65,9
SAIA,127.33,129.66,126.04,,,"193,171",132.62,61.46
SAIC,75.72,77.19,75.16,,,"385,002",96.8,45.45
SAIL,31.65,32.39,30.95,,,"1,616,115",31.99,11.61
SALT,13.79,13.85,13.22,,,"157,778",72.3013386,13.0806
SAM,659.23,697,653.06,,,"339,139",666.1991,290.02
SAMG,11.01,11.46,11.01,,,"5,890",14.5,6.21
SANM,26.35,26.66,26.1,,,"501,657",34.96,18.34
SASR,23.41,24,23.04,,,"298,716",38.45,18
SAVE,16.84,17.82,15.925,,,"25,007,248",47.4998,7.01
SB,1.15,1.18,1.12,,,"163,028",2.28,0.74
SBBP,3.42,3.53,3.33,,,"243,910",4.63,1.43
SBBX,19.73,19.8,19.06,,,"36,300",25.235,10.96
SBCF,20,20.02,19.2331,,,"246,460",31.42,13.3
SBH,13.69,14.02,13.465,,,"1,140,210",21.98,6.28
SBOW,3.87,4.27,3.87,,,"115,961",12.95,1.5
SBRA,14.56,14.855,14.36,,,"1,358,836",24.954,5.545
SBSI,28.6,28.71,27.54,,,"178,781",37.89,23.74
SBT,3.22,3.38,3.2,,,"70,531",10.37,2.525
SCHL,28.58,29.34,27.84,,,"250,224",45.8,20.0101
SCHN,18.07,18.15,17.6,,,"243,974",27.47,10.09
SCL,109,109.98,104.96,,,"128,807",106.8799,69.33
SCOR,3.24,3.36,3.11,,,"176,172",5.51,1.43
SCS,11.52,11.715,11.385,,,"982,744",23.02,7.02
SCSC,24.72,25.48,24.5961,,,"89,145",39.01,13.78
SCVL,29.54,30.09,28.89,,,"161,179",40,12.56
SCWX,12.1,12.72,11.61,,,"135,747",18.23,5.29
SD,1.35,1.42,1.34,,,"130,172",6.97,0.7
